ID,Year,Date,Stage,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Host Team
1,1930,7/13/1930,Group stage,France,4,1,Mexico,Standard duration,FALSE
2,1930,7/13/1930,Group stage,United States,3,0,Belgium,Standard duration,FALSE
3,1930,7/14/1930,Group stage,Yugoslavia,2,1,Brazil,Standard duration,FALSE
4,1930,7/14/1930,Group stage,Romania,3,1,Peru,Standard duration,FALSE
5,1930,7/15/1930,Group stage,Argentina,1,0,France,Standard duration,FALSE
6,1930,7/16/1930,Group stage,Chile,3,0,Mexico,Standard duration,FALSE
7,1930,7/17/1930,Group stage,Yugoslavia,4,0,Bolivia,Standard duration,FALSE
8,1930,7/17/1930,Group stage,United States,3,0,Paraguay,Standard duration,FALSE
9,1930,7/18/1930,Group stage,Uruguay,1,0,Peru,Standard duration,TRUE
10,1930,7/19/1930,Group stage,Chile,1,0,France,Standard duration,FALSE
11,1930,7/19/1930,Group stage,Argentina,6,3,Mexico,Standard duration,FALSE
12,1930,7/20/1930,Group stage,Brazil,4,0,Bolivia,Standard duration,FALSE
13,1930,7/20/1930,Group stage,Paraguay,1,0,Belgium,Standard duration,FALSE
14,1930,7/21/1930,Group stage,Uruguay,4,0,Romania,Standard duration,TRUE
15,1930,7/22/1930,Group stage,Argentina,3,1,Chile,Standard duration,FALSE
16,1930,7/26/1930,Semi-finals,Argentina,6,1,United States,Standard duration,FALSE
17,1930,7/27/1930,Semi-finals,Uruguay,6,1,Yugoslavia,Standard duration,TRUE
18,1930,7/30/1930,Final,Uruguay,4,2,Argentina,Standard duration,TRUE
19,1934,5/27/1934,Round of 16,Austria,3,2,France,Extra time,FALSE
20,1934,5/27/1934,Round of 16,Hungary,4,2,Egypt,Standard duration,FALSE
21,1934,5/27/1934,Round of 16,Switzerland,3,2,Netherlands,Standard duration,FALSE
22,1934,5/27/1934,Round of 16,Sweden,3,2,Argentina,Standard duration,FALSE
23,1934,5/27/1934,Round of 16,Germany,5,2,Belgium,Standard duration,FALSE
24,1934,5/27/1934,Round of 16,Spain,3,1,Brazil,Standard duration,FALSE
25,1934,5/27/1934,Round of 16,Italy,7,1,United States,Standard duration,TRUE
26,1934,5/27/1934,Round of 16,Czechoslovakia,2,1,Romania,Standard duration,FALSE
27,1934,5/31/1934,Quarter-finals,Czechoslovakia,3,2,Switzerland,Standard duration,FALSE
28,1934,5/31/1934,Quarter-finals,Germany,2,1,Sweden,Standard duration,FALSE
29,1934,5/31/1934,Quarter-finals,Italy,1,1,Spain,Standard duration,TRUE
30,1934,5/31/1934,Quarter-finals,Austria,2,1,Hungary,Standard duration,FALSE
31,1934,6/1/1934,Quarter-finals,Italy,1,0,Spain,Standard duration,TRUE
32,1934,6/3/1934,Semi-finals,Italy,1,0,Austria,Standard duration,TRUE
33,1934,6/3/1934,Semi-finals,Czechoslovakia,3,1,Germany,Standard duration,FALSE
34,1934,6/7/1934,Third place,Germany,3,2,Austria,Standard duration,FALSE
35,1934,6/10/1934,Final,Italy,2,1,Czechoslovakia,Extra time,TRUE
36,1938,6/4/1938,Round of 16,Switzerland,1,1,Germany,Standard duration,FALSE
37,1938,6/5/1938,Round of 16,Hungary,6,0,Indonesia,Standard duration,FALSE
38,1938,6/5/1938,Round of 16,France,3,1,Belgium,Standard duration,TRUE
39,1938,6/5/1938,Round of 16,Cuba,3,3,Romania,Standard duration,FALSE
40,1938,6/5/1938,Round of 16,Italy,2,1,Norway,Extra time,FALSE
41,1938,6/5/1938,Round of 16,Brazil,6,5,Poland,Extra time,FALSE
42,1938,6/5/1938,Round of 16,Czechoslovakia,3,0,Netherlands,Extra time,FALSE
43,1938,6/9/1938,Round of 16,Cuba,2,1,Romania,Standard duration,FALSE
44,1938,6/9/1938,Round of 16,Switzerland,4,2,Germany,Standard duration,FALSE
45,1938,6/12/1938,Quarter-finals,Brazil,1,1,Czechoslovakia,Standard duration,FALSE
46,1938,6/12/1938,Quarter-finals,Hungary,2,0,Switzerland,Standard duration,FALSE
47,1938,6/12/1938,Quarter-finals,Sweden,8,0,Cuba,Standard duration,FALSE
48,1938,6/12/1938,Quarter-finals,France,1,3,Italy,Standard duration,TRUE
49,1938,6/14/1938,Quarter-finals,Brazil,2,1,Czechoslovakia,Standard duration,FALSE
50,1938,6/16/1938,Semi-finals,Hungary,5,1,Sweden,Standard duration,FALSE
51,1938,6/16/1938,Semi-finals,Italy,2,1,Brazil,Standard duration,FALSE
52,1938,6/19/1938,Third place,Brazil,4,2,Sweden,Standard duration,FALSE
53,1938,6/19/1938,Final,Italy,4,2,Hungary,Standard duration,FALSE
54,1950,6/24/1950,First round,Brazil,4,0,Mexico,Standard duration,TRUE
55,1950,6/25/1950,First round,England,2,0,Chile,Standard duration,FALSE
56,1950,6/25/1950,First round,Spain,3,1,United States,Standard duration,FALSE
57,1950,6/25/1950,First round,Sweden,3,2,Italy,Standard duration,FALSE
58,1950,6/25/1950,First round,Yugoslavia,3,0,Switzerland,Standard duration,FALSE
59,1950,6/28/1950,First round,Brazil,2,2,Switzerland,Standard duration,TRUE
60,1950,6/28/1950,First round,Yugoslavia,4,1,Mexico,Standard duration,FALSE
61,1950,6/29/1950,First round,Spain,2,0,Chile,Standard duration,FALSE
62,1950,6/29/1950,First round,United States,1,0,England,Standard duration,FALSE
63,1950,6/29/1950,First round,Sweden,2,2,Paraguay,Standard duration,FALSE
64,1950,7/1/1950,First round,Brazil,2,0,Yugoslavia,Standard duration,TRUE
65,1950,7/2/1950,First round,Spain,1,0,England,Standard duration,FALSE
66,1950,7/2/1950,First round,Italy,2,0,Paraguay,Standard duration,FALSE
67,1950,7/2/1950,First round,Uruguay,8,0,Bolivia,Standard duration,FALSE
68,1950,7/2/1950,First round,Chile,5,2,United States,Standard duration,FALSE
69,1950,7/2/1950,First round,Switzerland,2,1,Mexico,Standard duration,FALSE
70,1950,7/9/1950,Final round,Uruguay,2,2,Spain,Standard duration,FALSE
71,1950,7/9/1950,Final round,Brazil,7,1,Sweden,Standard duration,TRUE
72,1950,7/13/1950,Final round,Brazil,6,1,Spain,Standard duration,TRUE
73,1950,7/13/1950,Final round,Uruguay,3,2,Sweden,Standard duration,FALSE
74,1950,7/16/1950,Final round,Sweden,3,1,Spain,Standard duration,FALSE
75,1950,7/16/1950,Final round,Uruguay,2,1,Brazil,Standard duration,TRUE
76,1954,6/16/1954,Group stage,Uruguay,2,0,Czechoslovakia,Standard duration,FALSE
77,1954,6/16/1954,Group stage,Austria,1,0,Scotland,Standard duration,FALSE
78,1954,6/16/1954,Group stage,Brazil,5,0,Mexico,Standard duration,FALSE
79,1954,6/16/1954,Group stage,Yugoslavia,1,0,France,Standard duration,FALSE
80,1954,6/17/1954,Group stage,Switzerland,2,1,Italy,Standard duration,TRUE
81,1954,6/17/1954,Group stage,Germany,4,1,Turkey,Standard duration,FALSE
82,1954,6/17/1954,Group stage,Hungary,9,0,South Korea,Standard duration,FALSE
83,1954,6/17/1954,Group stage,England,4,4,Belgium,Standard duration,FALSE
84,1954,6/19/1954,Group stage,Uruguay,7,0,Scotland,Standard duration,FALSE
85,1954,6/19/1954,Group stage,Austria,5,0,Czechoslovakia,Standard duration,FALSE
86,1954,6/19/1954,Group stage,Brazil,1,1,Yugoslavia,Standard duration,FALSE
